slide,OB,CB,FB,GC,HN,VR
2021-12-04 15.03.07,182820,0,10423,0,1392,13716
2021-12-04 15.07.10,248237,0,0,0,32843,1347671
2021-12-04 15.17.24,200449,1435,0,0,3095,6330
2021-12-04 15.21.24,515,0,0,0,5788,27689
2021-12-04 15.29.12,424222,324,0,0,19763,2889
2021-12-04 15.34.48,89301,0,0,0,0,15880
2021-12-04 15.39.51,396290,0,0,0,2728,123946
2021-12-04 15.45.39,2686,0,0,0,1053,27894
2021-12-04 15.51.08,13968,0,0,0,1133,4164
2021-12-04 15.53.18,1085953,324,0,0,3970,2995
2021-12-04 16.01.38,24845,0,0,0,729,0
2021-12-04 16.04.58,64423,0,0,0,0,23576
2021-12-04 16.08.17,287064,1152,0,0,5009,17586
2021-12-05 10.16.55,111705,0,2140,0,9011,2682
2021-12-05 10.19.52,611432,563,0,0,828,1366
2021-12-05 10.24.44,293535,0,0,0,26342,93038
2021-12-05 10.28.24,323132,0,0,0,115290,465883
2021-12-05 10.34.07,199779,0,0,0,51399,594001
2021-12-05 10.39.30,801423,0,3107,0,52268,7564
2021-12-05 10.44.41,78410,0,0,0,2486,10125
2021-12-05 10.49.21,219565,0,0,0,10588,367933
2021-12-05 10.54.23,186304,0,6223,0,0,49776
2021-12-05 10.56.37,330005,563,0,0,1868,149475
2021-12-05 10.59.51,607604,0,16534,0,190665,3041754
2021-12-05 11.08.51,1217258,35939,0,0,309676,586968
2021-12-05 11.21.09,151963,247,0,0,324,15848
2021-12-05 11.25.45,412585,0,327,0,660,3996
2021-12-05 11.30.41,129462,0,0,0,6405,544353
2021-12-05 11.35.19,737303,0,0,0,0,38489
2021-12-05 11.40.08,543,0,0,0,666,17343
2021-12-05 11.42.26,1313,0,0,0,63128,45679
2021-12-05 11.45.44,118653,0,0,0,666,810
2021-12-05 11.53.50,688289,324,0,0,0,0
2021-12-05 11.58.44,58220,0,0,0,817,725
2021-12-05 12.01.40,48517,0,0,0,7137,17512
2021-12-05 12.05.08,119172,1851,0,0,1341,8702
2021-12-05 12.13.28,145610,26198,458,0,32281,21315
2021-12-05 12.22.05,616621,5542,0,0,43136,98406
2021-12-05 12.27.37,696172,2864,0,0,90648,28978
2021-12-05 12.33.32,255579,0,152067,0,28188,12803
2021-12-05 12.37.28,392890,0,123582,0,12246,0
